service_id,date,exception_type
401,20210329,1
501,20210329,1
401,20210330,1
501,20210330,1
401,20210331,1
501,20210331,1
401,20210401,1
501,20210401,1
4,20210402,1
1,20210402,2
501,20210405,1
401,20210406,1
501,20210406,1
401,20210407,1
501,20210407,1
401,20210408,1
501,20210408,1
401,20210409,1
501,20210409,1
501,20210412,1
501,20210413,1
501,20210414,1
501,20210415,1
501,20210416,1
401,20210419,1
501,20210419,1
401,20210420,1
501,20210420,1
401,20210421,1
501,20210421,1
401,20210422,1
501,20210422,1
401,20210423,1
501,20210423,1
401,20210426,1
501,20210426,1
401,20210427,1
501,20210427,1
401,20210428,1
501,20210428,1
401,20210429,1
501,20210429,1
401,20210430,1
501,20210430,1
401,20210503,1
501,20210503,1
401,20210504,1
501,20210504,1
401,20210505,1
501,20210505,1
401,20210506,1
501,20210506,1
401,20210507,1
501,20210507,1
