route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
62667,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
62459,1,10,VAN HORNE,,3,,FF0000,FFFFFF
62460,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
62461,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
62462,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
62463,1,104,FAYWOOD,,3,,FF0000,FFFFFF
62464,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
62465,1,106,SENTINEL,,3,,FF0000,FFFFFF
62466,1,107,ST REGIS,,3,,FF0000,FFFFFF
62467,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
62468,1,109,RANEE,,3,,FF0000,FFFFFF
62469,1,11,BAYVIEW,,3,,FF0000,FFFFFF
62470,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
62471,1,111,EAST MALL,,3,,FF0000,FFFFFF
62472,1,112,WEST MALL,,3,,FF0000,FFFFFF
62473,1,113,DANFORTH ROAD,,3,,FF0000,FFFFFF
62474,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
62475,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
62476,1,117,ALNESS-CHESSWOOD,,3,,FF0000,FFFFFF
62477,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
62478,1,119,TORBARRIE,,3,,FF0000,FFFFFF
62479,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
62480,1,120,CALVINGTON,,3,,FF0000,FFFFFF
62481,1,121,FORT YORK - ESPLANADE,,3,,FF0000,FFFFFF
62482,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
62483,1,123,SHERWAY,,3,,FF0000,FFFFFF
62484,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
62485,1,125,DREWRY,,3,,FF0000,FFFFFF
62486,1,126,CHRISTIE,,3,,FF0000,FFFFFF
62487,1,127,DAVENPORT,,3,,FF0000,FFFFFF
62488,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
62489,1,130,MIDDLEFIELD,,3,,FF0000,FFFFFF
62490,1,131,NUGGET,,3,,FF0000,FFFFFF
62491,1,132,MILNER,,3,,FF0000,FFFFFF
62492,1,133,NEILSON,,3,,FF0000,FFFFFF
62493,1,134,PROGRESS,,3,,FF0000,FFFFFF
62494,1,135,GERRARD,,3,,FF0000,FFFFFF
62495,1,14,GLENCAIRN,,3,,FF0000,FFFFFF
62496,1,15,EVANS,,3,,FF0000,FFFFFF
62497,1,16,McCOWAN,,3,,FF0000,FFFFFF
62498,1,160,BATHURST NORTH,,3,,FF0000,FFFFFF
62499,1,161,ROGERS ROAD,,3,,FF0000,FFFFFF
62500,1,162,LAWRENCE-DONWAY,,3,,FF0000,FFFFFF
62501,1,165,WESTON RD. NORTH,,3,,FF0000,FFFFFF
62502,1,167,PHARMACY NORTH,,3,,FF0000,FFFFFF
62503,1,168,SYMINGTON,,3,,FF0000,FFFFFF
62504,1,169,HUNTINGWOOD,,3,,FF0000,FFFFFF
62505,1,17,BIRCHMOUNT,,3,,FF0000,FFFFFF
62506,1,171,MOUNT DENNIS,,3,,FF0000,FFFFFF
62510,1,189,STOCKYARDS,,3,,FF0000,FFFFFF
62668,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
62511,1,20,CLIFFSIDE,,3,,FF0000,FFFFFF
62512,1,21,BRIMLEY,,3,,FF0000,FFFFFF
62513,1,22,COXWELL,,3,,FF0000,FFFFFF
62514,1,23,DAWES,,3,,FF0000,FFFFFF
62515,1,24,VICTORIA PARK,,3,,FF0000,FFFFFF
62516,1,25,DON MILLS,,3,,FF0000,FFFFFF
62517,1,26,DUPONT,,3,,FF0000,FFFFFF
62518,1,28,BAYVIEW SOUTH,,3,,FF0000,FFFFFF
62519,1,29,DUFFERIN,,3,,FF0000,FFFFFF
62669,1,3,LINE 3 (SCARBOROUGH),,1,,108BEF,FFFFFF
